Borrowers,Categories,Lenders,Time of Loan Execution,Term of the Loan,External Reviewer,Loan Amount,Currency,Sustainability Performance Targets,Characteristics of the loan,Reporting Policy
"HOKURIKU ELECTRIC INDUSTRY CO., LTD.","Electronic components, devices, information equipment, etc.","The Hokuriku Bank, Ltd.","February, 2024",ー,"Japan Credit Rating Agency, Ltd.",ー,ー,Reduce the Group's CO2 emissions (Scope 1+2) by 3.7% per year (base year: FY2022),"
Depending on whether or not the pre-defined SPT is achieved, the arrangement is designed to fluctuate financial characteristics.",Hokuriku Electric Industry will report to the Hokuriku Bank by the SPT judgment date each year on the previous year's performance of the KPIs it has set and on the status of achievement of the SPT.
"KUMAGAI CO., LTD.",Manufacturing,"Daishi Hokuetsu Bank, Ltd","February, 2024",ー,"Rating & Investment Information, Inc.　",0.5,billion yen,"Reduce CO2 emissions per sales (Scope 1 and 2) by 46.2% in FY2030 compared to FY2019
【Target for each fiscal year】
FY2024 36.5%
FY2025 38.1%
FY2026 39.7%
FY2027 41.4%
FY2028 43.0%
FY2029 44.6%
FY2030 46.2%","SPTs will be determined each fiscal year. If Kumagaya meets the target, the loan rate will be reduced. If not, the loan rate is increased. Lower and upper limits are set for the reduction and increase of the loan rate, respectively.",Kumagaya will submit a report to The Daishi Hokuetsu Bank once a year that confirms the status of achievement of the SPTs. KPIs and SPTs will be disclosed on the websites of Kumagaya and The Daishi Hokuetsu Bank at the time of loan execution.
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),"Daishi Hokuetsu Bank, Ltd","February, 2024",７ years,"Rating & Investment Information, Inc.　",1,billion yen,CO2 emissions intensity of logistics real estate in 2027: 90% reduction of the owner-managed portion (Scope 1 and 2) compared to 2016 (base year),The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),"The Keiyo Bank,Ltd.","February, 2024",７ years,"Rating & Investment Information, Inc.　",0.5,billion yen,CO2 emissions intensity of logistics real estate in 2027: 90% reduction of the owner-managed portion (Scope 1 and 2) compared to 2016 (base year),The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),Sumitomo Mitsui Banking Corporation,"February, 2024",８ years,"Rating & Investment Information, Inc.　",1.7,billion yen,CO2 emissions intensity of logistics real estate in 2030: 100% reduction of the owner-managed portion (Scope 1 and 2) compared to 2016 (base year),The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),"The Joyo Bank, Ltd.","February, 2024",８ years,"Rating & Investment Information, Inc.　",1,billion yen,CO2 emissions intensity of logistics real estate in 2030: 100% reduction of the owner-managed portion (Scope 1 and 2) compared to 2016 (base year),The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),The Norinchukin Bank,"February, 2024",９ years,"Rating & Investment Information, Inc.　",1,billion yen,CO2 emissions intensity of logistics real estate in 2030: 100% reduction of the owner-managed portion (Scope 1 and 2) compared to 2016 (base year),The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),"Resona Bank,Ltd.","February, 2024",9.5 years,"Rating & Investment Information, Inc.　",1.5,billion yen,CO2 emissions intensity of logistics real estate in 2030: 100% reduction of the owner-managed portion (Scope 1 and 2) compared to 2016 (base year),The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),"The Yamagata Bank,Ltd","February, 2024",9.5 years,"Rating & Investment Information, Inc.　",0.7,billion yen,CO2 emissions intensity of logistics real estate in 2030: 100% reduction of the owner-managed portion (Scope 1 and 2) compared to 2016 (base year),The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
Mitsui Fudosan Logistics Park Inc.,Finance (including REITs),"Mizuho Bank, Ltd.","February, 2024",10 years,"Rating & Investment Information, Inc.　",1.2,billion yen,CO2 emissions intensity of logistics real estate in 2030: 100% reduction of the owner-managed portion (Scope 1 and 2) compared to 2016 (base year),The interest rate from the timing of the decision to the due date varies depending on the achievement of the SPT.,"The Fund plans to disclose KPI performance annually on its website. All stakeholders, including lenders, will have access to publicly available information on the SPT's performance for each calculation year."
"Kawabo Textured Co., Ltd.",Manufacturing,THE GIFU SHINKIN BANK,"January, 2024",5 years,"Rating & Investment Information, Inc.　※",0.05,billion yen,"Reduce CO2 emissions by 21.0% in the fiscal year ending Ferurary 39, 2028 compared to the fiscal year ending Feburary 28, 2023. 
【Targets for each year】
2025/2　▲8.4％　
2026/2　▲12.6% 
2027/2　▲16.8%
2028/2　▲21.0%","・The preferential interest rate is a prerequisite to motivate the reduction of CO2 emissions. 
・Since the preferential interest rate is applied from the beginning, the interest rate will not be additionally reduced when the SPT is achieved. 
・If the SPT is not achieved in a single period, the company will be asked to prepare a business plan to achieve the target. 
・If the SPT is not achieved for two consecutive terms, the interest rate will be raised by 0.1%. 
・Thereafter, the loan interest rate will remain raised as long as the SPT remains unachieved.","Kawabo Textured Co., Ltd. shall report annually to THE GIFU SHINKIN BANK on the status of SPT achievement."
Japan Real Estate Investment Corporation,Finance (including REITs),"The Gunma Bank,Ltd.","January, 2024",7 years,"Japan Credit Rating Agency, Ltd. ※",1,billion yen,"Reduce CO2 emissions by 80% by FY2030 (compared to FY2019, on a total amount basis)",The arrangement allows the financial characteristics to vary depending on the achievement of the SPT. The changes include a step-up/step-down in the interest rate.,"It plans to disclose on an annual basis on its website the actual results of the KPIs and the achievement of the SPTs for the reporting period, as well as information on the borrower's latest sustainability strategy in relation to the KPIs and the SPTs."
Japan Real Estate Investment Corporation,Finance (including REITs),"The Keiyo Bank,Ltd.","January, 2024",7 years,"Japan Credit Rating Agency, Ltd. ※",1,billion yen,"Reduce CO2 emissions by 80% by FY2030 (compared to FY2019, on a total amount basis)",The arrangement allows the financial characteristics to vary depending on the achievement of the SPT. The changes include a step-up/step-down in the interest rate.,"It plans to disclose on an annual basis on its website the actual results of the KPIs and the achievement of the SPTs for the reporting period, as well as information on the borrower's latest sustainability strategy in relation to the KPIs and the SPTs."
